Date,Cars,Transport,Petrol,Cars percent change,Transport percent change,Petrol percent change
1961 Jan,,20.538,,,0,
1961 Feb,,20.538,,,0,
1961 Mar,,20.538,,,0,
1961 Apr,,20.538,,,0,
1961 May,,20.538,,,0,
1961 Jun,,20.538,,,0,
1961 Jul,,20.538,,,0,
1961 Aug,,20.538,,,0,
1961 Sep,,20.538,,,0,
1961 Oct,,20.538,,,0,
1961 Nov,,20.538,,,0,
1961 Dec,,20.522,,,-0.1,
1962 Jan,,20.522,,,0,
1962 Feb,,20.522,,,0,
1962 Mar,,20.522,,,0,
1962 Apr,,20.522,,,0,
1962 May,,20.522,,,0,
1962 Jun,,20.522,,,0,
1962 Jul,,20.522,,,0,
1962 Aug,,20.522,,,0,
1962 Sep,,20.522,,,0,
1962 Oct,,20.522,,,0,
1962 Nov,,20.522,,,0,
1962 Dec,,20.522,,,0,
1963 Jan,,20.522,,,0,
1963 Feb,,20.522,,,0,
1963 Mar,,20.522,,,0,
1963 Apr,,20.522,,,0,
1963 May,,20.522,,,0,
1963 Jun,,20.544,,,0.1,
1963 Jul,,20.544,,,0,
1963 Aug,,20.544,,,0,
1963 Sep,,20.544,,,0,
1963 Oct,,20.544,,,0,
1963 Nov,,20.528,,,-0.1,
1963 Dec,,20.608,,,0.4,
1964 Jan,,20.608,,,0,
1964 Feb,,20.608,,,0,
1964 Mar,,20.608,,,0,
1964 Apr,,20.608,,,0,
1964 May,,20.608,,,0,
1964 Jun,,20.608,,,0,
1964 Jul,,20.608,,,0,
1964 Aug,,20.608,,,0,
1964 Sep,,20.608,,,0,
1964 Oct,,20.608,,,0,
1964 Nov,,20.608,,,0,
1964 Dec,,20.608,,,0,
1965 Jan,,20.608,,,0,
1965 Feb,,20.608,,,0,
1965 Mar,,20.608,,,0,
1965 Apr,,20.608,,,0,
1965 May,,20.608,,,0,
1965 Jun,,20.608,,,0,
1965 Jul,,20.608,,,0,
1965 Aug,,20.608,,,0,
1965 Sep,,20.608,,,0,
1965 Oct,,20.608,,,0,
1965 Nov,,20.608,,,0,
1965 Dec,,20.608,,,0,
1966 Jan,,20.608,,,0,
1966 Feb,,20.608,,,0,
1966 Mar,,20.608,,,0,
1966 Apr,,20.608,,,0,
1966 May,,20.608,,,0,
1966 Jun,,20.608,,,0,
1966 Jul,,20.608,,,0,
1966 Aug,,20.608,,,0,
1966 Sep,,20.608,,,0,
1966 Oct,,20.608,,,0,
1966 Nov,,20.632,,,0.1,
1966 Dec,,20.632,,,0,
1967 Jan,,20.632,,,0,
1967 Feb,,20.632,,,0,
1967 Mar,,20.632,,,0,
1967 Apr,,20.632,,,0,
1967 May,,20.632,,,0,
1967 Jun,,20.632,,,0,
1967 Jul,,20.632,,,0,
1967 Aug,,20.632,,,0,
1967 Sep,,20.632,,,0,
1967 Oct,,20.632,,,0,
1967 Nov,,20.632,,,0,
1967 Dec,,20.632,,,0,
1968 Jan,,20.632,,,0,
1968 Feb,,20.632,,,0,
1968 Mar,,20.632,,,0,
1968 Apr,,20.632,,,0,
1968 May,,20.632,,,0,
1968 Jun,,20.632,,,0,
1968 Jul,,20.632,,,0,
1968 Aug,,20.632,,,0,
1968 Sep,,20.632,,,0,
1968 Oct,,20.632,,,0,
1968 Nov,,20.632,,,0,
1968 Dec,,20.632,,,0,
1969 Jan,,20.675,,,0.2,
1969 Feb,,20.675,,,0,
1969 Mar,,20.675,,,0,
1969 Apr,,20.675,,,0,
1969 May,,20.675,,,0,
1969 Jun,,20.675,,,0,
1969 Jul,,20.675,,,0,
1969 Aug,,20.675,,,0,
1969 Sep,,20.675,,,0,
1969 Oct,,20.675,,,0,
1969 Nov,,20.675,,,0,
1969 Dec,,20.675,,,0,
1970 Jan,,20.652,,,-0.1,
1970 Feb,,20.652,,,0,
1970 Mar,,20.652,,,0,
1970 Apr,,20.652,,,0,
1970 May,,20.652,,,0,
1970 Jun,,20.652,,,0,
1970 Jul,,20.652,,,0,
1970 Aug,,20.652,,,0,
1970 Sep,,20.652,,,0,
1970 Oct,,20.652,,,0,
1970 Nov,,20.652,,,0,
1970 Dec,,20.652,,,0,
1971 Jan,,20.652,,,0,
1971 Feb,,20.652,,,0,
1971 Mar,,20.652,,,0,
1971 Apr,,20.652,,,0,
1971 May,,20.652,,,0,
1971 Jun,,20.645,,,0,
1971 Jul,,20.645,,,0,
1971 Aug,,20.645,,,0,
1971 Sep,,20.645,,,0,
1971 Oct,,20.645,,,0,
1971 Nov,,20.645,,,0,
1971 Dec,,20.645,,,0,
1972 Jan,,20.645,,,0,
1972 Feb,,20.645,,,0,
1972 Mar,,20.645,,,0,
1972 Apr,,20.645,,,0,
1972 May,,20.645,,,0,
1972 Jun,,20.645,,,0,
1972 Jul,,20.645,,,0,
1972 Aug,,20.645,,,0,
1972 Sep,,20.645,,,0,
1972 Oct,,20.686,,,0.2,
1972 Nov,,20.686,,,0,
1972 Dec,,20.686,,,0,
1973 Jan,,20.704,,,0.1,
1973 Feb,,20.709,,,0,
1973 Mar,,20.709,,,0,
1973 Apr,,20.709,,,0,
1973 May,,20.71,,,0,
1973 Jun,,20.71,,,0,
1973 Jul,,20.729,,,0.1,
1973 Aug,,20.729,,,0,
1973 Sep,,20.73,,,0,
1973 Oct,,20.734,,,0,
1973 Nov,,20.734,,,0,
1973 Dec,,21.002,,,1.3,
1974 Jan,,22.01,,,4.8,
1974 Feb,,26.488,,,20.3,
1974 Mar,,29.912,,,12.9,
1974 Apr,,30.07,,,0.5,
1974 May,,30.086,,,0.1,
1974 Jun,,30.11,,,0.1,
1974 Jul,,30.11,,,0,
1974 Aug,,30.125,,,0,
1974 Sep,,30.125,,,0,
1974 Oct,,30.134,,,0,
1974 Nov,,30.134,,,0,
1974 Dec,,30.134,,,0,
1975 Jan,,30.134,,,0,
1975 Feb,,30.118,,,-0.1,
1975 Mar,,30.313,,,0.6,
1975 Apr,,30.342,,,0.1,
1975 May,,30.369,,,0.1,
1975 Jun,,30.369,,,0,
1975 Jul,,30.407,,,0.1,
1975 Aug,,30.407,,,0,
1975 Sep,,30.438,,,0.1,
1975 Oct,,30.438,,,0,
1975 Nov,,30.456,,,0.1,
1975 Dec,,30.456,,,0,
1976 Jan,,31.484,,,3.4,
1976 Feb,,31.665,,,0.6,
1976 Mar,,31.665,,,0,
1976 Apr,,31.665,,,0,
1976 May,,31.665,,,0,
1976 Jun,,31.665,,,0,
1976 Jul,,31.681,,,0.1,
1976 Aug,,31.681,,,0,
1976 Sep,,31.687,,,0,
1976 Oct,,31.694,,,0,
1976 Nov,,31.694,,,0,
1976 Dec,,31.694,,,0,
1977 Jan,,31.729,,,0.1,
1977 Feb,,31.729,,,0,
1977 Mar,,31.729,,,0,
1977 Apr,,31.754,,,0.1,
1977 May,,31.869,,,0.4,
1977 Jun,,31.876,,,0,
1977 Jul,,31.916,,,0.1,
1977 Aug,,31.916,,,0,
1977 Sep,,31.916,,,0,
1977 Oct,,31.927,,,0,
1977 Nov,,31.927,,,0,
1977 Dec,,31.927,,,0,
1978 Jan,,31.978,,,0.2,
1978 Feb,,31.977,,,0,
1978 Mar,,32.062,,,0.3,
1978 Apr,,32.258,,,0.6,
1978 May,,32.273,,,0,
1978 Jun,,32.299,,,0.1,
1978 Jul,,34.899,,,8,
1978 Aug,,34.926,,,0.1,
1978 Sep,,34.942,,,0,
1978 Oct,,34.954,,,0,
1978 Nov,,34.954,,,0,
1978 Dec,,34.954,,,0,
1979 Jan,,34.968,,,0,
1979 Feb,,34.971,,,0,
1979 Mar,,34.975,,,0,
1979 Apr,,34.978,,,0,
1979 May,,34.978,,,0,
1979 Jun,,34.982,,,0,
1979 Jul,,35.285,,,0.9,
1979 Aug,,35.937,,,1.8,
1979 Sep,,40.335,,,12.2,
1979 Oct,,40.339,,,0,
1979 Nov,,40.357,,,0,
1979 Dec,,40.358,,,0,
1980 Jan,,40.862,,,1.2,
1980 Feb,,41.191,,,0.8,
1980 Mar,,41.88,,,1.7,
1980 Apr,,41.877,,,0,
1980 May,,41.856,,,-0.1,
1980 Jun,,42.033,,,0.4,
1980 Jul,,42.263,,,0.5,
1980 Aug,,42.735,,,1.1,
1980 Sep,,42.736,,,0,
1980 Oct,,42.735,,,0,
1980 Nov,,42.742,,,0,
1980 Dec,,42.846,,,0.2,
1981 Jan,,43.235,,,0.9,
1981 Feb,,43.544,,,0.7,
1981 Mar,,43.921,,,0.9,
1981 Apr,,47.618,,,8.4,
1981 May,,48.005,,,0.8,
1981 Jun,,48.005,,,0,
1981 Jul,,48.061,,,0.1,
1981 Aug,,48.021,,,-0.1,
1981 Sep,,48.021,,,0,
1981 Oct,,48.063,,,0.1,
1981 Nov,,48.063,,,0,
1981 Dec,,48.083,,,0,
1982 Jan,,48.132,,,0.1,
1982 Feb,,48.084,,,-0.1,
1982 Mar,,48.049,,,-0.1,
1982 Apr,,48.049,,,0,
1982 May,,47.908,,,-0.3,
1982 Jun,,47.908,,,0,
1982 Jul,,47.9,,,0,
1982 Aug,,47.985,,,0.2,
1982 Sep,,47.985,,,0,
1982 Oct,,48.649,,,1.4,
1982 Nov,,48.649,,,0,
1982 Dec,,48.832,,,0.4,
1983 Jan,,48.841,,,0,
1983 Feb,,48.832,,,0,
1983 Mar,,48.832,,,0,
1983 Apr,,48.092,,,-1.5,
1983 May,,48.098,,,0,
1983 Jun,,48.102,,,0,
1983 Jul,,48.151,,,0.1,
1983 Aug,,48.161,,,0,
1983 Sep,,48.16,,,0,
1983 Oct,,48.465,,,0.6,
1983 Nov,,50.559,,,4.3,
1983 Dec,,50.569,,,0,
1984 Jan,,50.955,,,0.8,
1984 Feb,,50.955,,,0,
1984 Mar,,50.984,,,0.1,
1984 Apr,,50.984,,,0,
1984 May,,50.99,,,0,
1984 Jun,,50.992,,,0,
1984 Jul,,50.991,,,0,
1984 Aug,,51.003,,,0,
1984 Sep,,50.783,,,-0.4,
1984 Oct,,50.574,,,-0.4,
1984 Nov,,50.573,,,0,
1984 Dec,,50.573,,,0,
1985 Jan,,50.728,,,0.3,
1985 Feb,,50.724,,,0,
1985 Mar,,52.942,,,4.4,
1985 Apr,,54.566,,,3.1,
1985 May,,54.572,,,0,
1985 Jun,,55.404,,,1.5,
1985 Jul,,55.429,,,0,
1985 Aug,,55.435,,,0,
1985 Sep,,53.433,,,-3.6,
1985 Oct,,53.37,,,-0.1,
1985 Nov,,53.37,,,0,
1985 Dec,,53.232,,,-0.3,
1986 Jan,,53.009,,,-0.4,
1986 Feb,,52.57,,,-0.8,
1986 Mar,,51.083,,,-2.8,
1986 Apr,,50.704,,,-0.7,
1986 May,,51.258,,,1.1,
1986 Jun,,51.306,,,0.1,
1986 Jul,,51.537,,,0.5,
1986 Aug,,51.433,,,-0.2,
1986 Sep,,51.482,,,0.1,
1986 Oct,,51.684,,,0.4,
1986 Nov,,51.62,,,-0.1,
1986 Dec,,51.66,,,0.1,
1987 Jan,,51.632,,,-0.1,
1987 Feb,,51.662,,,0.1,
1987 Mar,,51.817,,,0.3,
1987 Apr,,52.162,,,0.7,
1987 May,,52.407,,,0.5,
1987 Jun,,52.437,,,0.1,
1987 Jul,,52.488,,,0.1,
1987 Aug,,52.489,,,0,
1987 Sep,,52.361,,,-0.2,
1987 Oct,,52.356,,,0,
1987 Nov,,52.368,,,0,
1987 Dec,,52.224,,,-0.3,
1988 Jan,,52.294,,,0.1,
1988 Feb,,52.584,,,0.6,
1988 Mar,,52.714,,,0.2,
1988 Apr,,52.726,,,0,
1988 May,,52.894,,,0.3,
1988 Jun,,53.014,,,0.2,
1988 Jul,,52.787,,,-0.4,
1988 Aug,,52.674,,,-0.2,
1988 Sep,,52.68,,,0,
1988 Oct,,52.49,,,-0.4,
1988 Nov,,52.8,,,0.6,
1988 Dec,,53.188,,,0.7,
1989 Jan,,53.39,,,0.4,
1989 Feb,,53.478,,,0.2,
1989 Mar,,53.573,,,0.2,
1989 Apr,,53.986,,,0.8,
1989 May,,55.136,,,2.1,
1989 Jun,,56.616,,,2.7,
1989 Jul,,56.323,,,-0.5,
1989 Aug,,56.463,,,0.2,
1989 Sep,,56.46,,,0,
1989 Oct,,56.469,,,0,
1989 Nov,,56.609,,,0.2,
1989 Dec,,57.421,,,1.4,
1990 Jan,,57.532,,,0.2,
1990 Feb,,57.749,,,0.4,
1990 Mar,,57.82,,,0.1,
1990 Apr,,57.973,,,0.3,
1990 May,,58.274,,,0.5,
1990 Jun,,58.146,,,-0.2,
1990 Jul,,58.079,,,-0.1,
1990 Aug,,59.637,,,2.7,
1990 Sep,,62.936,,,5.5,
1990 Oct,,65.827,,,4.6,
1990 Nov,,64.085,,,-2.6,
1990 Dec,,63.667,,,-0.7,
1991 Jan,,63.443,,,-0.4,
1991 Feb,,64.569,,,1.8,
1991 Mar,,63.068,,,-2.3,
1991 Apr,,63.449,,,0.6,
1991 May,,64.331,,,1.4,
1991 Jun,,65.225,,,1.4,
1991 Jul,,65.166,,,-0.1,
1991 Aug,,65.453,,,0.4,
1991 Sep,,65.585,,,0.2,
1991 Oct,,64.796,,,-1.2,
1991 Nov,,65.236,,,0.7,
1991 Dec,,65.902,,,1,
1992 Jan,,66.182,,,0.4,
1992 Feb,,65.436,,,-1.1,
1992 Mar,,65.311,,,-0.2,
1992 Apr,,65.757,,,0.7,
1992 May,,66.754,,,1.5,
1992 Jun,,66.84,,,0.1,
1992 Jul,,67.064,,,0.3,
1992 Aug,,67.26,,,0.3,
1992 Sep,,67.268,,,0,
1992 Oct,,67.569,,,0.4,
1992 Nov,,68.016,,,0.7,
1992 Dec,,67.435,,,-0.9,
1993 Jan,,66.927,,,-0.8,
1993 Feb,,66.725,,,-0.3,
1993 Mar,,67.203,,,0.7,
1993 Apr,,67.945,,,1.1,
1993 May,,68.268,,,0.5,
1993 Jun,,68.55,,,0.4,
1993 Jul,,68.942,,,0.6,
1993 Aug,,68.902,,,-0.1,
1993 Sep,,69.364,,,0.7,
1993 Oct,,69.909,,,0.8,
1993 Nov,,70.617,,,1,
1993 Dec,,71.651,,,1.5,
1994 Jan,,72.81,,,1.6,
1994 Feb,,71.874,,,-1.3,
1994 Mar,,70.643,,,-1.7,
1994 Apr,,71.551,,,1.3,
1994 May,,72.455,,,1.3,
1994 Jun,,73.97,,,2.1,
1994 Jul,,74.557,,,0.8,
1994 Aug,,74.995,,,0.6,
1994 Sep,,75.329,,,0.4,
1994 Oct,,76.172,,,1.1,
1994 Nov,,77.466,,,1.7,
1994 Dec,,76.049,,,-1.8,
1995 Jan,,74.659,,,-1.8,
